experiment_name,run_name,dataset,classes,num_channels,ablated_channel,ablated_channel_idx,ablation_iteration,ablation_study,batch_size,best_fold_idx,best_lr,color_transforms,creation_date,creation_time,dropout_rate,epochs,freezed_layer_index,intensity_augmentation_preset,lr_discovery_folds,lr_discovery_method,mixup_alpha,model_library,model_name,optimizer_name,pretrained_weights,test_counts,test_pat_ids_for_best_fold,test_pat_ids_per_fold,total_channels_available,total_params,train_counts,trainable_params,transfer_learning,use_crop,val_counts,weight_decay,exec_time_min,mean_patient_major_bal_acc,mean_patient_major_mcc,mean_patient_major_precision,mean_patient_major_recall,mean_patient_soft_bal_acc,mean_patient_soft_mcc,mean_patient_soft_precision,mean_patient_soft_recall,mean_test_accuracy,mean_test_auc,mean_test_balanced_acc,mean_test_f1,mean_test_mcc,mean_test_precision,mean_test_recall,std_patient_major_bal_acc,std_patient_major_mcc,std_patient_major_precision,std_patient_major_recall,std_patient_soft_bal_acc,std_patient_soft_mcc,std_patient_soft_precision,std_patient_soft_recall,std_test_accuracy,std_test_auc,std_test_balanced_acc,std_test_f1,std_test_mcc,std_test_precision,std_test_recall,ablation.channel,ablation.iteration,ablation.study_type,patient_major_bal_acc_formatted,patient_major_mcc_formatted,patient_major_precision_formatted,patient_major_recall_formatted,patient_soft_bal_acc_formatted,patient_soft_mcc_formatted,patient_soft_precision_formatted,patient_soft_recall_formatted
DS1_4c_MSA-P_vs_PD_supervised,ViT_monai_10-30_at:12-06-53,DS1,MSA-P vs PD,4,,,,,32,0,0.00012207764786954147,,10-30,12:06:53,0.2,450,None,light,4,nested,0,monai,ViT,AdamW,None,"{'fold_0': 8, 'fold_1': 8, 'fold_2': 8, 'fold_3': 7, 'fold_4': 7, 'fold_5': 7, 'fold_6': 7, 'fold_7': 7}",,"{0: array(['5776', '6008', '6060', '6258', '6311', '6577', '6616', '6791'],
      dtype=object), 1: array(['6179', '6237', '6323', '6363', '6663', '6696', '6773', '7689'],
      dtype=object), 2: array(['5745', '5753', '5996', '6375', '6690', '7114', '7155', '7781'],
      dtype=object), 3: array(['5463', '5978', '5992', '6351', '6383', '7284', '7461'],
      dtype=object), 4: array(['5435', '6046', '6571', '6593', '6651', '7343', '7544'],
      dtype=object), 5: array(['5717', '5767', '6337', '6366', '6657', '7132', '7229'],
      dtype=object), 6: array(['6308', '6326', '6427', '6459', '6485', '6749', '7318'],
      dtype=object), 7: array(['4092', '5954', '6340', '6424', '6599', '7787', '7811'],
      dtype=object)}",,1054978,"{0: 85, 1: 84, 2: 84, 3: 89, 4: 86, 5: 86, 6: 86, 7: 86}",1054978,False,False,"{0: 16, 1: 16, 2: 15, 3: 15, 4: 16, 5: 16, 6: 16, 7: 16}",1e-5,35.312,0.682,0.389,0.676,0.833,0.682,0.402,0.649,0.896,0.686,0.749,0.672,0.739,0.368,0.663,0.849,0.153,0.309,0.147,0.182,0.149,0.337,0.117,0.137,0.128,0.157,0.139,0.099,0.285,0.118,0.112,,,,0.682 ± 0.153,0.389 ± 0.309,0.676 ± 0.147,0.833 ± 0.182,0.682 ± 0.149,0.402 ± 0.337,0.649 ± 0.117,0.896 ± 0.137
DS1_4c_MSA-P_vs_PD_supervised,Densenet121_mixup0.2_oversamp_monai_10-14_at:14-40-26,DS1,MSA-P vs PD,4,,,,,16,,1.9906996673933362e-05,,10-14,14:40:26,0.2,210,None,light,4,nested,0.2,monai,Densenet121,AdamW,None,14,,,,6959042,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",6959042,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,35.082,0.797,0.637,0.758,0.917,0.786,0.587,0.767,0.896,0.783,0.79,0.771,0.805,0.579,0.741,0.891,0.117,0.206,0.11,0.144,0.124,0.256,0.115,0.137,0.056,0.162,0.065,0.066,0.112,0.067,0.106,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Densenet121_oversamp_monai_10-14_at:16-03-00,DS1,MSA-P vs PD,4,,,,,16,,1.9906996673933362e-05,,10-14,16:03:00,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,14,,,,6959042,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",6959042,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,30.168,0.766,0.545,0.717,0.771,0.703,0.427,0.663,0.802,0.754,0.759,0.743,0.767,0.518,0.711,0.849,0.168,0.366,0.296,0.319,0.214,0.447,0.278,0.328,0.118,0.171,0.131,0.159,0.253,0.136,0.214,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,ViT_monai_10-14_at:16-49-14,DS1,MSA-P vs PD,4,,,,,32,,0.00012207764786954147,,10-14,16:49:14,0.2,450,None,light,4,nested,0,monai,ViT,AdamW,None,"{'fold_0': 8, 'fold_1': 8, 'fold_2': 8, 'fold_3': 7, 'fold_4': 7, 'fold_5': 7, 'fold_6': 7, 'fold_7': 7}",,,,1054978,"{0: 85, 1: 85, 2: 84, 3: 88, 4: 86, 5: 86, 6: 86, 7: 86}",1054978,False,False,"{0: 16, 1: 15, 2: 15, 3: 16, 4: 16, 5: 16, 6: 16, 7: 16}",1e-5,45.608,0.682,0.386,0.679,0.792,0.651,0.345,0.617,0.792,0.705,0.732,0.693,0.737,0.428,0.676,0.828,0.146,0.328,0.152,0.208,0.138,0.3,0.131,0.243,0.08,0.137,0.089,0.099,0.188,0.097,0.165,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Densenet169_oversamp_monai_10-14_at:17-25-07,DS1,MSA-P vs PD,4,,,,,32,,0.00012207764786954147,,10-14,17:25:08,0.2,50,None,light,4,nested,0,monai,Densenet169,AdamW,None,14,,,,12490946,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",12490946,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,29.912,0.807,0.614,0.796,0.896,0.786,0.57,0.781,0.854,0.779,0.817,0.771,0.807,0.538,0.753,0.875,0.19,0.41,0.183,0.137,0.2,0.427,0.181,0.149,0.157,0.243,0.171,0.123,0.379,0.137,0.116,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Resnet18_oversamp_monai_10-14_at:18-29-02,DS1,MSA-P vs PD,4,,,,,32,,9.77832594580138e-06,,10-14,18:29:02,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,14,,,,11181570,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",11181570,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,63.565,0.745,0.504,0.754,0.833,0.76,0.53,0.674,0.812,0.742,0.818,0.747,0.745,0.514,0.78,0.786,0.154,0.346,0.169,0.182,0.196,0.394,0.297,0.348,0.137,0.146,0.137,0.163,0.262,0.145,0.231,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Resnet18_mixup0.2_oversamp_monai_10-15_at:13-14-23,DS1,MSA-P vs PD,4,,,,,32,,9.77832594580138e-06,,10-15,13:14:23,0.2,210,None,light,4,nested,0.2,monai,Resnet18,AdamW,None,14,,,,11181570,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",11181570,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,64.088,0.797,0.616,0.817,0.833,0.781,0.589,0.698,0.802,0.776,0.868,0.781,0.777,0.588,0.811,0.818,0.145,0.283,0.185,0.182,0.175,0.341,0.317,0.328,0.15,0.135,0.144,0.18,0.27,0.166,0.232,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Densenet169_mixup0.2_oversamp_monai_10-15_at:12-09-56,DS1,MSA-P vs PD,4,,,,,32,,0.00012207764786954147,,10-15,12:09:56,0.2,50,None,light,4,nested,0.2,monai,Densenet169,AdamW,None,14,,,,12490946,"{0: 80, 1: 80, 2: 79, 3: 83, 4: 81, 5: 81, 6: 81, 7: 81}",12490946,False,False,"{0: 21, 1: 20, 2: 20, 3: 21, 4: 21, 5: 21, 6: 21, 7: 21}",1e-4,28.584,0.755,0.524,0.723,0.896,0.771,0.543,0.758,0.865,0.733,0.784,0.723,0.775,0.458,0.696,0.88,0.169,0.374,0.142,0.137,0.161,0.362,0.132,0.138,0.134,0.239,0.146,0.099,0.336,0.111,0.101,,,,,,,,,,,
DS1_4c_MSA-P_vs_PD_supervised,Densenet121_oversamp_monai_10-30_at:10-11-35,DS1,MSA-P vs PD,4,,,,,32,0,0.00012207764786954147,,10-30,10:11:35,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,14,,"{0: array(['5776', '6008', '6060', '6258', '6311', '6577', '6616', '6791'],
      dtype=object), 1: array(['6179', '6237', '6323', '6363', '6663', '6696', '6773', '7689'],
      dtype=object), 2: array(['5745', '5753', '5996', '6375', '6690', '7114', '7155', '7781'],
      dtype=object), 3: array(['5463', '5978', '5992', '6351', '6383', '7284', '7461'],
      dtype=object), 4: array(['5435', '6046', '6571', '6593', '6651', '7343', '7544'],
      dtype=object), 5: array(['5717', '5767', '6337', '6366', '6657', '7132', '7229'],
      dtype=object), 6: array(['6308', '6326', '6427', '6459', '6485', '6749', '7318'],
      dtype=object), 7: array(['4092', '5954', '6340', '6424', '6599', '7787', '7811'],
      dtype=object)}",,6959042,"{0: 85, 1: 84, 2: 84, 3: 89, 4: 86, 5: 86, 6: 86, 7: 86}",6959042,False,False,"{0: 16, 1: 16, 2: 15, 3: 15, 4: 16, 5: 16, 6: 16, 7: 16}",1e-4,28.708,0.818,0.65,0.79,0.865,0.776,0.583,0.758,0.823,0.76,0.796,0.763,0.771,0.538,0.763,0.802,0.141,0.287,0.154,0.186,0.108,0.222,0.132,0.252,0.084,0.087,0.084,0.087,0.179,0.128,0.133,,,,0.818 ± 0.141,0.650 ± 0.287,0.790 ± 0.154,0.865 ± 0.186,0.776 ± 0.108,0.583 ± 0.222,0.758 ± 0.132,0.823 ± 0.252
DS1_4c_MSA_vs_PD_supervised,ViT_monai_10-31_at:00-25-44,DS1,MSA vs PD,4,,,,,32,2,8.364645453054492e-06,,10-31,00:25:44,0.2,450,None,light,4,nested,0,monai,ViT,AdamW,None,"{'fold_0': 11, 'fold_1': 11, 'fold_2': 11, 'fold_3': 11, 'fold_4': 10, 'fold_5': 10, 'fold_6': 10, 'fold_7': 10}","['4092' '5745' '6085' '6237' '6340' '6351' '6427' '7293' '7318' '7397'
 '7597']","{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,1054978,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",1054978,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-5,55.831,0.532,0.08,0.438,0.302,0.548,0.121,0.487,0.333,0.606,0.636,0.547,0.359,0.092,0.419,0.333,0.13,0.308,0.3,0.232,0.116,0.272,0.266,0.161,0.091,0.168,0.102,0.193,0.235,0.215,0.213,,,,0.532 ± 0.130,0.080 ± 0.308,0.438 ± 0.300,0.302 ± 0.232,0.548 ± 0.116,0.121 ± 0.272,0.487 ± 0.266,0.333 ± 0.161
DS1_4c_MSA_vs_PD_supervised,ViT_monai_10-17_at:19-10-25,DS1,MSA vs PD,4,,,,,32,5,8.364645453054492e-06,,10-17,19:10:25,0.2,450,None,light,4,nested,0,monai,ViT,AdamW,None,"{'fold_0': 11, 'fold_1': 11, 'fold_2': 11, 'fold_3': 11, 'fold_4': 10, 'fold_5': 10, 'fold_6': 10, 'fold_7': 10}",['5992' '6308' '6323' '6657' '7120' '7179' '7185' '7781' '7811' '7893'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,1054978,"{0: 121, 1: 120, 2: 121, 3: 120, 4: 122, 5: 122, 6: 124, 7: 122}",1054978,False,False,"{0: 22, 1: 22, 2: 22, 3: 22, 4: 22, 5: 22, 6: 22, 7: 22}",1e-5,74.549,0.649,0.298,0.502,0.479,0.645,0.291,0.552,0.49,0.663,0.649,0.639,0.498,0.263,0.503,0.516,0.122,0.242,0.225,0.263,0.148,0.306,0.271,0.299,0.117,0.193,0.132,0.229,0.286,0.225,0.264,,,,0.649 ± 0.122,0.298 ± 0.242,0.502 ± 0.225,0.479 ± 0.263,0.645 ± 0.148,0.291 ± 0.306,0.552 ± 0.271,0.490 ± 0.299
DS1_4c_MSA_vs_PD_supervised,Densenet121_oversamp_monai_10-15_at:16-26-20,DS1,MSA vs PD,4,,,,,16,,0.00012207764786954147,,10-15,16:26:20,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,,,,6959042,"{0: 114, 1: 113, 2: 114, 3: 113, 4: 115, 5: 115, 6: 116, 7: 115}",6959042,False,False,"{0: 29, 1: 29, 2: 29, 3: 29, 4: 29, 5: 29, 6: 30, 7: 29}",1e-4,36.212,0.666,0.33,0.513,0.76,0.69,0.379,0.553,0.771,0.665,0.709,0.686,0.634,0.366,0.549,0.771,0.167,0.317,0.176,0.23,0.169,0.327,0.203,0.199,0.15,0.175,0.15,0.162,0.287,0.171,0.178,,,,,,,,,,,
DS1_4c_MSA_vs_PD_supervised,Densenet169_oversamp_monai_10-15_at:17-15-37,DS1,MSA vs PD,4,,,,,32,,1.9906996673933362e-05,,10-15,17:15:37,0.2,150,None,light,4,nested,0,monai,Densenet169,AdamW,None,20,,None,,12490946,"{0: 114, 1: 113, 2: 114, 3: 113, 4: 115, 5: 115, 6: 116, 7: 115}",12490946,False,False,"{0: 29, 1: 29, 2: 29, 3: 29, 4: 29, 5: 29, 6: 30, 7: 29}",1e-4,48.862,0.641,0.287,0.549,0.604,0.667,0.359,0.6,0.635,0.663,0.723,0.662,0.595,0.328,0.568,0.656,0.159,0.329,0.226,0.165,0.131,0.295,0.249,0.208,0.132,0.137,0.121,0.136,0.245,0.171,0.156,,,,,0.287 ± 0.329,0.549 ± 0.226,0.604 ± 0.165,,0.359 ± 0.295,0.600 ± 0.249,0.635 ± 0.208
DS1_4c_MSA_vs_PD_supervised,Densenet121_oversamp_monai_10-17_at:15-52-19,DS1,MSA vs PD,4,,,,,16,4,0.00012207764786954147,,10-17,15:52:19,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,6959042,"{0: 114, 1: 113, 2: 114, 3: 113, 4: 115, 5: 115, 6: 116, 7: 115}",6959042,False,False,"{0: 29, 1: 29, 2: 29, 3: 29, 4: 29, 5: 29, 6: 30, 7: 29}",1e-4,35.996,0.684,0.357,0.529,0.76,0.699,0.4,0.572,0.771,0.665,0.706,0.686,0.631,0.362,0.542,0.771,0.172,0.327,0.175,0.23,0.169,0.331,0.209,0.199,0.141,0.171,0.144,0.153,0.273,0.149,0.178,,,,0.684 ± 0.172,0.357 ± 0.327,0.529 ± 0.175,0.760 ± 0.230,0.699 ± 0.169,0.400 ± 0.331,0.572 ± 0.209,0.771 ± 0.199
DS1_4c_MSA_vs_PD_supervised,Densenet169_oversamp_monai_10-17_at:16-37-35,DS1,MSA vs PD,4,,,,,32,4,1.9906996673933362e-05,,10-17,16:37:35,0.2,150,None,light,4,nested,0,monai,Densenet169,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,12490946,"{0: 114, 1: 113, 2: 114, 3: 113, 4: 115, 5: 115, 6: 116, 7: 115}",12490946,False,False,"{0: 29, 1: 29, 2: 29, 3: 29, 4: 29, 5: 29, 6: 30, 7: 29}",1e-4,44.857,0.668,0.365,0.654,0.604,0.635,0.291,0.55,0.552,0.669,0.706,0.649,0.561,0.305,0.56,0.594,0.197,0.405,0.298,0.235,0.167,0.372,0.315,0.294,0.13,0.168,0.13,0.183,0.263,0.181,0.224,,,,0.668 ± 0.197,0.365 ± 0.405,0.654 ± 0.298,0.604 ± 0.235,0.635 ± 0.167,0.291 ± 0.372,0.550 ± 0.315,0.552 ± 0.294
DS1_4c_MSA_vs_PD_supervised,Resnet18_oversamp_monai_10-17_at:17-55-22,DS1,MSA vs PD,4,,,,,32,1,9.77832594580138e-06,,10-17,17:55:22,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,"['5435' '5878' '5881' '6179' '6326' '6375' '6571' '7229' '7239' '7407'
 '7461']","{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,11181570,"{0: 114, 1: 113, 2: 114, 3: 113, 4: 115, 5: 115, 6: 116, 7: 115}",11181570,False,False,"{0: 29, 1: 29, 2: 29, 3: 29, 4: 29, 5: 29, 6: 30, 7: 29}",1e-4,77.37,0.688,0.42,0.556,0.708,0.685,0.401,0.568,0.667,0.64,0.72,0.636,0.51,0.29,0.471,0.62,0.1,0.223,0.302,0.341,0.132,0.266,0.303,0.341,0.092,0.135,0.096,0.211,0.199,0.21,0.321,,,,0.688 ± 0.100,0.420 ± 0.223,0.556 ± 0.302,0.708 ± 0.341,0.685 ± 0.132,0.401 ± 0.266,0.568 ± 0.303,0.667 ± 0.341
DS1_4c_MSA_vs_PD_supervised,Densenet121_oversamp_monai_10-30_at:21-40-29,DS1,MSA vs PD,4,,,,,32,4,0.00012207764786954147,,10-30,21:40:29,0.2,210,None,light,4,nested,0,monai,Densenet121,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,6959042,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",6959042,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,44.509,0.699,0.404,0.588,0.771,0.67,0.34,0.524,0.729,0.661,0.743,0.672,0.608,0.345,0.547,0.719,0.155,0.309,0.205,0.199,0.141,0.273,0.144,0.246,0.124,0.125,0.126,0.151,0.243,0.146,0.205,,,,0.699 ± 0.155,0.404 ± 0.309,0.588 ± 0.205,0.771 ± 0.199,0.670 ± 0.141,0.340 ± 0.273,0.524 ± 0.144,0.729 ± 0.246
DS1_4c_MSA_vs_PD_supervised,Densenet169_oversamp_monai_10-30_at:22-25-54,DS1,MSA vs PD,4,,,,,32,7,1.9906996673933362e-05,,10-30,22:25:54,0.2,210,None,light,4,nested,0,monai,Densenet169,AdamW,None,20,['4121' '5358' '5753' '6060' '6337' '6577' '6616' '7155' '7343' '7857'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,12490946,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",12490946,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,45.007,0.661,0.339,0.546,0.552,0.668,0.356,0.538,0.583,0.676,0.732,0.641,0.514,0.314,0.617,0.526,0.165,0.338,0.293,0.32,0.108,0.23,0.264,0.325,0.077,0.098,0.091,0.153,0.178,0.186,0.256,,,,0.661 ± 0.165,0.339 ± 0.338,0.546 ± 0.293,0.552 ± 0.320,0.668 ± 0.108,0.356 ± 0.230,0.538 ± 0.264,0.583 ± 0.325
DS1_4c_MSA_vs_PD_supervised,Resnet18_oversamp_monai_10-30_at:23-29-27,DS1,MSA vs PD,4,,,,,32,4,9.77832594580138e-06,,10-30,23:29:27,0.2,210,None,light,4,nested,0,monai,Resnet18,AdamW,None,20,['5776' '5969' '6053' '6258' '6599' '6651' '6663' '6696' '6773' '7689'],"{0: array(['5717', '5767', '5954', '5978', '6008', '6431', '6749', '7056',
       '7114', '7132', '7787'], dtype=object), 1: array(['5435', '5878', '5881', '6179', '6326', '6375', '6571', '7229',
       '7239', '7407', '7461'], dtype=object), 2: array(['4092', '5745', '6085', '6237', '6340', '6351', '6427', '7293',
       '7318', '7397', '7597'], dtype=object), 3: array(['5904', '5996', '6311', '6424', '6459', '6593', '6791', '7105',
       '7191', '7284', '7544'], dtype=object), 4: array(['5776', '5969', '6053', '6258', '6599', '6651', '6663', '6696',
       '6773', '7689'], dtype=object), 5: array(['5992', '6308', '6323', '6657', '7120', '7179', '7185', '7781',
       '7811', '7893'], dtype=object), 6: array(['5463', '6046', '6363', '6366', '6383', '6485', '6690', '7037',
       '7210', '7579'], dtype=object), 7: array(['4121', '5358', '5753', '6060', '6337', '6577', '6616', '7155',
       '7343', '7857'], dtype=object)}",,11181570,"{0: 122, 1: 121, 2: 121, 3: 121, 4: 119, 5: 119, 6: 125, 7: 121}",11181570,False,False,"{0: 21, 1: 21, 2: 22, 3: 21, 4: 25, 5: 25, 6: 21, 7: 23}",1e-4,63.08,0.629,0.259,0.51,0.615,0.664,0.329,0.564,0.646,0.634,0.72,0.639,0.579,0.273,0.525,0.661,0.229,0.456,0.264,0.303,0.166,0.333,0.212,0.211,0.169,0.156,0.167,0.162,0.323,0.161,0.195,,,,0.629 ± 0.229,0.259 ± 0.456,0.510 ± 0.264,0.615 ± 0.303,0.664 ± 0.166,0.329 ± 0.333,0.564 ± 0.212,0.646 ± 0.211
